player,rating,elo,wins
RWKV-4-Raven-14B,-0.3226134438033662,1143.9563046273572,1880
alpaca-13b,0.04722050282912246,1208.203041524554,2292
chatglm-6b,-0.1010520908362349,1182.4454538260147,1627
claude-instant-v1,-0.24839008697984621,1156.8502223460737,1281
claude-v1,0.3433234317909991,1259.6413887739673,1941
dolly-v2-12b,0.26435478925629774,1245.9231304954828,1408
fastchat-t5-3b,-0.2599590235962953,1154.8404922124687,1697
gpt-3.5-turbo,0.09666570190351562,1216.7925523704007,2351
gpt-4,-0.222037850227015,1161.4280747490986,2135
gpt4all-13b-snoozy,0.31191455943157514,1254.1851087945668,512
guanaco-33b,-0.09863609885197669,1182.8651546208491,496
koala-13b,-0.26155603571940517,1154.563062791429,2779
llama-13b,0.05080618203223705,1208.825937801269,1034
mpt-7b-chat,-0.08970119999546416,1184.4173055287479,1431
oasst-pythia-12b,0.15595885297730763,1227.092827700802,2462
palm-2,-0.10248965105938715,1182.1957240370873,1421
stablelm-tuned-alpha-7b,0.2484075567974218,1243.1528124720755,1429
vicuna-13b,-0.46502971945007615,1119.2160635687258,2901
vicuna-7b,0.40196228433206005,1269.8280008074557,1372
wizardlm-13b,0.25085133916853053,1243.5773409515737,551
