player,rating,elo,wins
RWKV-4-Raven-14B,-2.8611922178488975,702.9600032494789,878
alpaca-13b,-3.8029374296486447,539.3621037121031,1118
chatglm-6b,-3.7784098641018335,543.6229782607033,649
claude-instant-v1,10.21660229374724,2974.8055999898124,1493
claude-v1,10.477567125585763,3020.139834565125,2390
dolly-v2-12b,-9.558472502277514,-460.47674526523656,443
fastchat-t5-3b,-5.69415132909999,210.82459945992298,611
gpt-3.5-turbo,6.781028628087386,2377.985325922532,2524
gpt-4,10.638500738689977,3048.09686661469,2888
gpt4all-13b-snoozy,-3.3471720722620266,618.5366556143717,252
guanaco-33b,3.6562086691190547,1835.148499874095,436
koala-13b,2.4676647501575886,1628.6772736722428,1901
llama-13b,-9.76316591455208,-496.0356330383531,304
mpt-7b-chat,-3.0780662274321666,665.2851289973802,671
oasst-pythia-12b,-4.206359655590202,469.28048507068513,1150
palm-2,1.2447030812971462,1416.22707192613,1125
stablelm-tuned-alpha-7b,-8.699610499290948,-311.27713381986064,485
vicuna-13b,3.6989654087878683,1842.5761063150308,2667
vicuna-7b,2.595874687240096,1650.9496209522813,883
wizardlm-13b,3.0124223293921872,1723.3113579268668,426
