player,rating,elo,wins
RWKV-4-Raven-14B,-0.38839011459923445,1132.5297265615122,878
alpaca-13b,-0.545269902407873,1105.2769160945345,1118
chatglm-6b,-0.7408880179809018,1071.2945688330628,649
claude-instant-v1,1.3243234201175853,1430.0585414449238,1493
claude-v1,1.4944071738005205,1459.6051157192799,2390
dolly-v2-12b,-1.2299546528124257,986.3349925169334,443
fastchat-t5-3b,-0.7867510243258464,1063.3273486014216,611
gpt-3.5-turbo,0.9840707336132589,1370.9505957642893,2524
gpt-4,1.825664056611392,1517.1503302381734,2888
gpt4all-13b-snoozy,-0.37824007789202285,1134.2929685347353,252
guanaco-33b,0.5256719262726584,1291.3185667486673,436
koala-13b,0.046851369342339105,1208.1389164699956,1901
llama-13b,-1.3332377244805698,968.3928852771362,304
mpt-7b-chat,-0.388282898516153,1132.5483519028137,671
oasst-pythia-12b,-0.6188035220151619,1092.5028180026072,1150
palm-2,0.29875338487474556,1251.8987786004081,1125
stablelm-tuned-alpha-7b,-1.0972955044478052,1009.3802469604293,485
vicuna-13b,0.4428424912725305,1276.9296201247796,2667
vicuna-7b,0.18385679907558475,1231.9391973195686,883
wizardlm-13b,0.38067208449737966,1266.1295142847282,426
