player,rating,elo,wins
RWKV-4-Raven-14B,-0.42282795201070117,1126.5472614589198,878
alpaca-13b,-0.5924980408487805,1097.0725481283548,1118
chatglm-6b,-0.91731531480539,1040.64600824587,649
claude-instant-v1,1.4108307017696364,1445.0863954712981,1493
claude-v1,1.5425167759552894,1467.9626096162306,2390
dolly-v2-12b,-1.35381079403295,964.818977044172,443
fastchat-t5-3b,-0.8475320641114978,1052.7686005281214,611
gpt-3.5-turbo,1.0572885817990603,1383.6698387418587,2524
gpt-4,1.921610049888371,1533.8178564145408,2888
gpt4all-13b-snoozy,-0.3407879294095807,1140.7990731032737,252
guanaco-33b,0.6691760763879621,1316.2477909587844,436
koala-13b,0.04018254079248018,1206.9804222940106,1901
llama-13b,-1.5721358946744415,926.8920224563433,304
mpt-7b-chat,-0.37559007249494114,1134.7533216231218,671
oasst-pythia-12b,-0.6017420768933269,1095.4666945904903,1150
palm-2,0.4231038752642652,1273.5006713196608,1125
stablelm-tuned-alpha-7b,-1.214991231352369,988.9344050651316,485
vicuna-13b,0.5098749446771487,1288.5743499736045,2667
vicuna-7b,0.2010692096936163,1234.929299300234,883
wizardlm-13b,0.4635786144061491,1280.5318536659784,426
