player,rating,elo,wins
RWKV-4-Raven-14B,-0.4231784810145881,1126.4863683340657,878
alpaca-13b,-0.592608337363095,1097.0533876613388,1118
chatglm-6b,-0.917123305688925,1040.6793636457724,649
claude-instant-v1,1.4079751809406937,1444.5903406957104,1493
claude-v1,1.5418631130720024,1467.8490567429362,2390
dolly-v2-12b,-1.3517063997872698,965.1845477676312,443
fastchat-t5-3b,-0.8476790777624582,1052.7430616411707,611
gpt-3.5-turbo,1.0570482868145434,1383.6280952275367,2524
gpt-4,1.9209662594925296,1533.7060185679743,2888
gpt4all-13b-snoozy,-0.3413615554133106,1140.6994240600352,252
guanaco-33b,0.6686547089380324,1316.1572201561648,436
koala-13b,0.040294977804395726,1206.9999546035451,1901
llama-13b,-1.5692239270675132,927.3978830416113,304
mpt-7b-chat,-0.3762863918397482,1134.632358563485,671
oasst-pythia-12b,-0.601981998948762,1095.4250158605855,1150
palm-2,0.42239278813418896,1273.377142832963,1125
stablelm-tuned-alpha-7b,-1.211445654025418,989.550334932434,485
vicuna-13b,0.5097096291245065,1288.5456317206904,2667
vicuna-7b,0.2004465178264973,1234.8211266435078,883
wizardlm-13b,0.4632436667636977,1280.473667300841,426
