player,rating,elo,wins
RWKV-4-Raven-14B,-0.42262372013980093,1126.582740168744,878
alpaca-13b,-0.5923428307279499,1097.0995108879597,1118
chatglm-6b,-0.9172828527031658,1040.6516474906166,649
claude-instant-v1,1.412447760684723,1445.367307376792,1493
claude-v1,1.5433325488492677,1468.104323882767,2390
dolly-v2-12b,-1.3555359995527492,964.5192781492129,443
fastchat-t5-3b,-0.847274594912627,1052.8133275090531,611
gpt-3.5-turbo,1.0580491720583987,1383.8019668029067,2524
gpt-4,1.9223896292193885,1533.9532832152074,2888
gpt4all-13b-snoozy,-0.3402276184273901,1140.8964090903598,252
guanaco-33b,0.6696291639774973,1316.326500334766,436
koala-13b,0.04031145360962396,1207.0028167440635,1901
llama-13b,-1.574897865070612,926.4122190554485,304
mpt-7b-chat,-0.3746581847250193,1134.915207109614,671
oasst-pythia-12b,-0.601886381413717,1095.4416263277228,1150
palm-2,0.4240354631227584,1273.6625047062016,1125
stablelm-tuned-alpha-7b,-1.2195772757161718,988.1377275607464,485
vicuna-13b,0.5098236980582819,1288.5654475240885,2667
vicuna-7b,0.20182620911070148,1235.0608035680918,883
wizardlm-13b,0.46446222469856313,1280.6853524956377,426
