player,rating,elo,wins
RWKV-4-Raven-14B,0.04668872079169613,1208.110661522782,1880
alpaca-13b,0.07618326431630536,1213.2343885223793,2292
chatglm-6b,-0.02024172966307736,1196.4836514012593,1627
claude-instant-v1,-0.05908217070344776,1189.7363757138507,1281
claude-v1,-0.007973145544933356,1198.6149227545695,1941
dolly-v2-12b,0.04671907037243436,1208.1159337849592,1408
fastchat-t5-3b,0.12684776980493365,1222.0357145872067,1697
gpt-3.5-turbo,0.0314153452308784,1205.4574044323424,2351
gpt-4,0.034993828333724226,1206.0790506184023,2135
gpt4all-13b-snoozy,-0.14739046421396915,1174.3956538826858,512
guanaco-33b,-0.09942470848489274,1182.7281590960686,496
koala-13b,0.0018208664383101095,1200.3163168985764,2779
llama-13b,0.08945916667888135,1215.5406489777206,1034
mpt-7b-chat,0.004847950032644139,1200.842175179088,1431
oasst-pythia-12b,0.022829563139117798,1203.9659013182322,2462
palm-2,-0.07769266235060061,1186.5034021827046,1421
stablelm-tuned-alpha-7b,0.0730787444607114,1212.6950781854819,1429
vicuna-13b,-0.006671338741637254,1198.8410697590398,2901
vicuna-7b,-0.0849940125338823,1185.2350277446876,1372
wizardlm-13b,-0.051414057363196417,1191.0684634379627,551
