shuffle,DG,ISGD,FTRL,DiagNewton
1,0.0006962711450228552,0.1304117492028613,0.04262911273941789,0.011616740257060068
2,0.0006962711450228552,0.16309497508307852,0.05278333333354384,0.010561166192708075
3,0.0006962711450228552,0.1897351694029075,0.04461196451289721,0.00799578705319245
4,0.0006962711450228552,0.1438126336360961,0.047060822631994015,0.009671039724352291
5,0.0006962711450228552,0.14733667479619592,0.04384684319081592,0.01150813468812388
6,0.0006962711450228552,0.22185219670571216,0.04154112135402702,0.0112869544209233
7,0.0006962711450228552,0.21260700637396687,0.04959526442060774,0.014320896113721377
8,0.0006962711450228552,0.2105115718322867,0.053854211320935715,0.012058201696355887
9,0.0006962711450228552,0.20412441931932104,0.03912663646801243,0.0154289774110276
10,0.0006962711450228552,0.18905667102961482,0.04196268433918403,0.008736195112862352
